Table 3.,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2001 TO 2010,,,,,,,,,,
,,,,,,,,,,
Region and country of birth,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
REGION,,,,,,,,,,
   Total,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625
Africa,53731,60101,48642,66422,85098,117422,94711,105915,127050,101355
Asia,357160,349723,250448,342930,411722,440335,397834,399027,413312,422063
Europe,165507,164295,93904,124791,164892,146193,106495,103719,105398,88743
North America,405638,402949,249968,342468,345561,414075,339355,393253,375236,336602
Oceania,6071,5515,4351,5985,6546,7384,6101,5263,5578,5345
South America,68484,74151,55028,72060,103135,137986,106525,98555,102878,87187
Unknown,2311,2622,1201,3227,5303,2734,1394,1394,1366,1330
COUNTRY,,,,,,,,,,
   Total,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625
Afghanistan,1202,1759,1252,2137,4749,3417,1753,2813,3165,2017
Albania,4358,3765,3362,3840,5947,7914,5737,5754,5137,4711
Algeria,875,1030,759,805,1115,1300,1036,1037,1485,1305
American Samoa,28,26,16,12,15,28,11,14,19,14
Angola,94,92,59,107,188,272,199,221,173,148
Anguilla,55,20,26,22,35,32,25,22,21,19
Antiguana Barbuda,461,380,301,414,440,570,415,444,437,359
Argentina,3297,3661,3129,4805,7081,7327,5645,5353,5780,4399
Armenia,1762,1800,1287,1833,2591,6317,4351,3586,3442,2979
Aruba,29,32,27,31,42,51,55,36,38,49
Australia,2811,2557,1836,2604,3193,3249,2518,2464,2622,2512
Austria,522,483,295,402,532,524,485,443,512,442
Azerbaijan,1152,1164,746,969,1523,2371,1166,1071,834,781
Bahamas,924,808,423,586,698,847,738,682,751,652
Bahrain,118,85,59,116,140,148,133,96,120,104
Bangladesh,7152,5483,4616,8061,11487,14644,12074,11753,16651,14819
Barbados,895,813,516,630,846,959,689,585,603,465
Belarus,2901,2923,1858,2255,3503,3086,2328,2390,2407,2038
Belgium,814,769,455,638,859,716,638,642,686,592
Belize,936,966,588,871,876,1252,1073,1077,1041,965
Benin,75,137,76,185,193,275,258,317,401,486
Bermuda,98,108,92,100,116,160,108,92,108,72
Bhutan,5,14,15,17,30,78,52,42,594,6109
Bolivia,1819,1664,1376,1768,2197,4025,2590,2436,2837,2253
BosnianaHerzegovina,23594,25329,6155,10552,14074,3789,1569,1491,1501,946
Botswana,24,30,27,34,54,53,49,41,55,66
Brazil,9448,9439,6331,10556,16662,17903,14295,12195,14701,12258
British Virgin Islands,70,43,43,35,41,47,40,53,46,46
Brunei,27,28,20,22,49,25,32,18,26,20
Bulgaria,4400,3608,3825,4253,5635,4828,3981,2960,3133,2570
Burkina Faso,68,64,60,103,128,221,238,238,416,377
Burma,1373,1356,1193,1379,2095,4562,3130,3403,13621,12925
Burundi,79,120,74,100,186,320,257,255,1505,841
Cambodia,2462,2800,2263,3553,4022,5773,4246,3713,3771,2986
Cameroon,791,984,927,1309,1458,2919,3392,3771,3463,4161
Canada,21752,19352,11350,15569,21878,18207,15495,15109,16140,13328
Cape Verde,868,871,745,1015,1225,1780,2048,1916,2238,1668
Cayman Islands,23,24,35,38,37,65,40,37,45,52
Central African Republic,11,13,6,17,24,51,52,88,107,101
Chad,44,47,8,23,31,73,74,96,102,120
Chile,1921,1839,1310,1810,2404,2774,2274,2017,2250,1950
"China, People's Republic",56267,61082,40568,55494,69933,87307,76655,80271,64238,70863
Colombia,16627,18758,14720,18846,25566,43144,33187,30213,27849,22406
"Congo, Democratic Republic",145,178,110,155,260,738,1129,1261,2122,1764
"Congo, Republic",311,677,513,670,1064,1600,972,950,1563,968
Costa Rica,1733,1591,1246,1755,2278,3109,2540,2090,2384,2164
Cote d'Ivoire,596,629,483,666,930,2067,1193,1645,2159,1621
Croatia,2853,3798,1153,1511,1780,945,482,455,496,357
Cuba,27453,28182,9262,20488,36261,45614,29104,49500,38954,33573
Cyprus,216,158,123,143,196,180,137,141,142,122
Czech Republic,307,267,267,457,476,344,287,227,146,190
Czechoslovakia (former),863,897,543,673,784,1442,927,862,865,750
Denmark,706,609,405,566,718,699,517,498,603,518
Djibouti,22,30,16,37,50,34,23,39,54,37
Dominica,93,148,204,132,198,471,428,454,484,366
Dominican Republic,21195,22515,26159,30506,27503,38068,28024,31879,49414,53870
Ecuador,9665,10561,7066,8626,11608,17489,12248,11663,12128,11492
Egypt,5159,4852,3348,5522,7905,10500,9267,8712,8844,8978
El Salvador,31089,31060,28231,29807,21359,31782,21127,19659,19909,18806
Equatorial Guinea,3,8,0,13,10,13,4,16,32,12
Eritrea,540,560,556,675,796,1593,1081,1270,1928,1656
Estonia,348,343,235,322,438,423,368,287,282,260
Ethiopia,5092,7565,6635,8286,10571,16152,12786,12917,15462,14266
Fiji,1452,1208,1095,1593,1422,2115,1637,1176,1194,1201
Finland,497,426,241,388,574,542,426,302,423,397
France,4569,3797,2375,3595,4399,4258,3423,4872,4491,3861
French Guiana,8,6,4,3,8,15,9,6,18,9
French Polynesia,16,12,14,13,19,37,27,26,30,16
Gabon,32,41,40,50,66,85,95,82,171,138
Gambia,390,343,263,422,581,897,826,739,978,859
Georgia,786,886,735,964,1389,2003,1554,1620,1578,1518
Germany,9790,8888,5064,7099,9264,8436,7582,7091,7583,6888
Ghana,4023,4248,4410,5337,6491,9367,7610,8195,8401,7429
Greece,1155,1009,651,769,1070,1124,882,769,798,745
Grenada,645,634,481,609,840,1068,751,784,748,664
Guadeloupe,84,38,35,59,48,53,38,33,32,34
Guatemala,13496,16178,14386,18920,16818,24133,17908,16182,12187,10467
Guinea,11,16,29,347,495,1110,1088,1735,1725,1379
GuineanaBissau,273,289,176,5,26,25,25,17,20,30
Guyana,8279,9938,6809,6351,9317,9552,5726,6823,6670,6749
Haiti,27031,20213,12293,14191,14524,22226,30405,26007,24280,22582
Honduras,6571,6435,4645,5508,7012,8177,7646,6540,6404,6448
Hong Kong,8300,6075,3574,3951,3705,3256,3527,3373,2651,2432
Hungary,1263,1274,1021,1272,1567,1704,1266,1127,1314,1022
Iceland,134,93,97,105,135,145,95,122,131,105
India,70032,70823,50228,70151,84680,61369,65353,63352,57304,69162
Indonesia,2525,2418,1805,2419,3924,4868,3716,3606,3679,3032
Iran,10425,12960,7230,10434,13887,13947,10460,13852,18553,14182
Iraq,4965,5174,2450,3494,4077,4337,3765,4795,12110,19855
Ireland,1505,1398,983,1531,2088,1906,1503,1465,1637,1507
Israel,3744,3826,2741,4160,5755,5943,4496,5851,5612,4515
Italy,3096,2578,1644,2346,3066,3215,2569,2514,2892,2579
Jamaica,15322,14835,13347,14430,18345,24976,19375,18477,21783,19825
Japan,9578,8248,5971,7697,8768,8265,6748,6821,7690,6264
Jordan,4572,3964,2927,3431,3748,4038,3917,3936,4282,3868
Kazakhstan,2310,2315,1740,1906,2223,2073,1604,1630,1562,1282
Kenya,2501,3199,3209,5335,5347,8779,7030,6998,9880,7421
Kiribati,0,4,4,0,4,8,10,4,10,6
"Korea, South",20532,20724,12382,19766,26562,24386,22405,26666,25859,22227
Kosovo,0,0,0,0,0,0,0,0,0,355
Kuwait,1258,1056,707,1091,1152,1230,1017,1104,1124,1037
Kyrgyzstan,582,473,356,439,656,785,597,632,574,507
Laos,1398,1245,896,1147,1242,2892,2575,2198,1688,1200
Latvia,711,683,458,605,768,892,568,455,444,435
Lebanon,4579,3935,2956,3818,4282,4083,4267,4254,3831,3487
Lesotho,6,13,5,14,12,18,14,16,14,23
Liberia,2273,2869,1766,2757,4880,6887,4102,7193,7641,4837
Libya,223,158,140,185,223,271,186,285,296,355
Lithuania,1732,1786,2266,2480,2417,1885,1361,967,1069,985
Luxembourg,34,32,16,13,35,28,39,28,30,22
Macau,340,284,244,192,133,189,178,205,158,143
Macedonia,921,821,653,775,1070,1317,1227,1107,1128,963
Madagascar,61,43,40,54,60,72,53,77,71,80
Malawi,70,56,62,83,131,131,123,133,164,164
Malaysia,2439,2124,1200,1987,2632,2281,2149,1945,2014,1714
Maldives,9,9,15,7,6,0,9,0,6,0
Mali,119,105,124,163,277,408,412,523,576,528
Malta,57,44,37,57,74,70,53,66,58,74
Marshall Islands,0,26,26,48,32,53,48,39,48,37
Martinique,22,19,14,26,37,30,23,24,24,15
Mauritania,117,124,131,170,275,720,651,844,597,495
Mauritius,84,83,57,65,99,108,88,83,110,84
Mexico,205560,218822,115585,175411,161445,173749,148640,189989,164920,139120
"Micronesia, Federated States",9,0,4,5,6,12,7,13,16,10
Moldova,2068,2103,1151,1507,3506,3036,1356,1692,2295,1981
Monaco,9,17,3,7,7,0,6,7,0,12
Mongolia,102,135,153,229,323,497,530,659,831,594
Montenegro,0,0,0,0,0,0,0,0,0,120
Montserrat,61,42,36,33,50,90,66,61,43,27
Morocco,4958,3387,3137,4128,4411,4949,4513,4425,5447,5013
Mozambique,48,54,36,59,54,78,81,69,66,53
Namibia,54,46,40,40,63,56,57,46,53,60
Nepal,945,1137,2095,2878,3158,3733,3472,4093,4514,7115
Netherlands,1679,1549,981,1303,1815,1651,1368,1240,1499,1321
Netherlands Antilles,114,97,59,72,116,100,93,78,97,77
New Caledonia,6,5,0,0,5,7,5,5,13,6
New Zealand,1205,1117,877,1131,1293,1100,1047,893,947,919
Nicaragua,19634,10659,4094,4009,3305,4145,3716,3614,4137,3565
Niger,1330,1263,808,62,126,116,97,107,183,96
Nigeria,8253,8105,7872,9374,10597,13459,12448,12475,15253,13376
Norway,547,431,320,405,423,481,343,350,407,334
Oman,55,61,76,122,101,155,103,70,74,63
Pakistan,16393,13694,9415,12086,14926,17418,13492,19719,21555,18258
Palau,3,10,8,6,8,8,11,6,16,18
Panama,1867,1680,1164,1417,1815,2418,1916,1678,1806,1536
Papua New Guinea,26,26,34,19,44,30,31,15,19,30
Paraguay,401,356,207,328,516,719,545,481,530,467
Peru,11062,11918,9409,11794,15676,21718,17699,15184,16957,14247
Philippines,52919,51040,45250,57846,60746,74606,72596,54030,60029,58173
Poland,11769,12711,10510,14326,15351,17051,10355,8354,8754,7643
Portugal,1609,1313,808,1069,1125,1409,1019,772,946,755
Qatar,125,108,72,125,174,226,138,151,134,148
Romania,6628,4887,3655,4571,7103,7137,5802,4930,4910,4003
Russia,20313,20771,13935,17410,18055,13159,9426,11695,8238,6718
Rwanda,148,217,109,163,276,502,357,378,952,489
Saint KittsnaNevis,463,342,310,299,342,458,347,363,310,339
Saint Lucia,674,583,488,616,832,1212,928,946,1027,872
Saint Vincent and the Grenadines,559,480,322,400,625,756,567,568,591,576
Samoa,165,157,178,203,173,283,290,227,250,219
Sao Tome and Principe,0,0,0,9,8,6,7,7,11,10
Saudi Arabia,1178,1014,735,906,1210,1542,1171,1194,1418,1263
Senegal,663,530,522,769,913,1367,1024,1149,1524,1285
Serbia and Montenegro,6203,10387,2994,3331,5202,5891,3586,3255,3166,2196
Seychelles,18,20,16,25,16,15,7,16,10,8
Sierra Leone,1878,2246,1492,1596,2731,3572,1999,2795,2687,2011
Singapore,1100,1033,582,966,1204,997,985,922,832,774
Slovakia,809,725,674,800,965,1111,763,653,706,538
Slovenia,142,140,64,88,114,115,87,79,108,74
Solomon Islands,7,7,5,6,3,5,10,7,0,6
Somalia,3007,4535,2444,3929,5829,9462,6251,10745,13390,4558
South Africa,4090,3861,2210,3370,4536,3201,2988,2723,3171,2758
Soviet Union (former),2707,2403,1072,929,2899,6229,5090,5270,5911,4978
Spain,1711,1361,917,1339,1888,1971,1578,1621,1769,1684
Sri Lanka,1505,1529,1246,1431,1894,2191,1831,1935,2009,2036
Sudan,1650,2921,1883,3211,5231,5504,2930,3598,3577,2397
Swaziland,18,12,23,15,16,11,13,18,42,22
Sweden,1682,1376,963,1270,1517,1376,1145,1019,1138,1097
Switzerland,1298,1004,632,855,1092,983,705,720,798,675
Syria,3350,2557,1938,2256,2831,2918,2385,2641,2442,2555
Taiwan,12120,9775,6917,9005,9196,8086,8990,9073,8038,6732
Tajikistan,187,181,137,167,207,239,172,231,265,299
Tanzania,476,577,554,747,829,949,832,838,2773,1850
Thailand,4245,4144,3126,4318,5505,11749,8751,6637,10444,9384
Togo,487,935,1187,2041,1523,1720,1565,1661,1680,1563
Tonga,327,331,238,327,309,437,438,365,379,343
Trinidad and Tobago,6618,5738,4138,5384,6568,8854,6829,5937,6256,5435
Tunisia,438,540,353,457,495,510,417,410,416,418
Turkey,3215,3375,3029,3835,4614,4941,4425,4210,4958,4483
Turkmenistan,94,93,84,117,148,248,217,274,290,224
Turks and Caicos Islands,33,31,26,28,34,52,31,35,31,29
U.S. Virgin Islands,6,9,4,13,8,7,3,0,3,0
Uganda,457,575,455,721,858,1372,1122,1174,1364,1085
Ukraine,20914,21190,11633,14156,22745,17140,11001,10813,11223,8477
United Arab Emirates,460,472,380,586,812,1006,758,693,697,779
United Kingdom,18278,16297,9527,14915,19800,17207,14545,14348,15748,12792
United States,63,64,32,57,183,333,171,216,181,201
Uruguay,541,536,469,787,1154,1664,1418,1451,1775,1331
Uzbekistan,2031,2317,1445,1995,2887,4015,4665,6375,5467,4770
Venezuela,5170,5228,4018,6220,10645,11341,10692,10514,11154,9409
Vietnam,35419,33563,22087,31524,32784,30691,28691,31497,29234,30632
Yemen,1607,1227,1382,1760,3366,4308,2396,1872,3134,3591
Zambia,295,308,280,359,499,672,576,613,704,628
Zimbabwe,475,484,358,628,923,1049,1057,953,983,1274